,Unnamed: 0,Zestimate,Price,Rent Zestimate,Days On Zillow,Bathrooms,Bedrooms,Living Area,Home Type,Street Address,Zip,statusType,Mortgage,HOA,Zip_code,Violent_crime,Property_Crime,quality,commute_time,free_lunch,total_schools
271,271,698000.0,1499,1696.0,89,1.0,1.0,420.0,TOWNHOUSE,375 E Saint John St #B,95112,FOR_RENT,19171.733333333334,399,95112,43,54,Below Average,22.7,77.2,100.0
272,272,,1595,1664.0,128,1.0,1.0,,APARTMENT,345 N 6th St APT 10,95112,FOR_RENT,,483,95112,43,54,Below Average,22.7,77.2,100.0
273,273,,1850,1734.0,199,1.0,1.0,600.0,APARTMENT,230 N 13th St APT 3,95112,FOR_RENT,,491,95112,43,54,Below Average,22.7,77.2,100.0
274,274,1553800.0,1800,1658.0,291,1.0,1.0,500.0,CONDO,368 N 4th St,95112,FOR_RENT,42677.706666666665,423,95112,43,54,Below Average,22.7,77.2,100.0
275,275,,1895,1632.0,445,1.0,1.0,600.0,APARTMENT,336 N 5th St APT 5,95112,FOR_RENT,,431,95113,24,39,Below Average,22.7,77.2,100.0
276,276,,1895,1531.0,486,1.0,0.0,6936.0,APARTMENT,96 S 10th St,95112,FOR_RENT,,515,95112,43,54,Below Average,22.7,77.2,100.0
277,277,,1850,1660.0,26,1.0,1.0,5128.0,APARTMENT,20 Hensley St,95112,FOR_RENT,,495,95112,43,54,Below Average,22.7,77.2,100.0
278,278,1043800.0,3200,3405.0,62,2.5,2.0,1302.0,SINGLE_FAMILY,182 Nexus Loop,95110,FOR_RENT,28669.706666666665,457,95112,43,54,Below Average,21.8,76.4,100.0
279,279,,2250,2821.0,59,1.0,2.0,1150.0,APARTMENT,65 Fox Ave,95110,FOR_RENT,,481,95112,43,54,Below Average,21.8,76.4,100.0
280,280,,1595,2475.0,221,1.0,1.0,1000.0,APARTMENT,33 E Empire St #203,95112,FOR_RENT,,499,95112,43,54,Below Average,22.7,77.2,100.0
281,281,,1500,1809.0,338,1.0,1.0,525.0,APARTMENT,460 N 1st St #22 & 15,95112,FOR_RENT,,421,95112,43,54,Below Average,22.7,77.2,100.0
282,282,1289100.0,4000,3764.0,0,3.0,3.0,1584.0,TOWNHOUSE,843 Georgetown Pl,95126,FOR_RENT,35407.28,438,95112,43,54,Average,22.4,61.2,100.0
283,283,,1450,,0,1.0,0.0,453.0,APARTMENT,710 S 3rd St APT 6,95112,FOR_RENT,,383,95110,43,53,Below Average,22.7,77.2,100.0
284,284,,1395,1546.0,0,1.0,0.0,450.0,APARTMENT,57 Sutter St #B,95110,FOR_RENT,,399,95112,43,54,Below Average,21.8,76.4,100.0
285,285,,2400,,2,1.0,2.0,,APARTMENT,544 & 550 S 6th St #4,95112,FOR_RENT,,459,95112,43,54,Below Average,22.7,77.2,100.0
